%1lenna 
%             size  trial    Sub  PSNR   SSIM   FSIM   Delt  nPSNR   nSSIM  nFSIM  nDelta 
               256      1     30   5.69  0.004  0.000  0.000  18.58  0.315  0.000  0.000
               256      1     50   5.69  0.004  0.000  0.000  14.18  0.179  0.000  0.000
               256      1     70   5.69  0.004  0.000  0.000  11.25  0.114  0.000  0.000
%1lenna 
%             size  trial    Sub  PSNR   SSIM   FSIM   Delt  nPSNR   nSSIM  nFSIM  nDelta 
               256      1     30  20.45  0.518  0.000  0.000  18.61  0.316  0.000  0.000
               256      1     50  20.41  0.510  0.000  0.000  14.18  0.179  0.000  0.000
               256      1     70  20.34  0.498  0.000  0.000  11.25  0.114  0.000  0.000
%1lenna 
%             size  trial    Sub  PSNR   SSIM   FSIM   Delt  nPSNR   nSSIM  nFSIM  nDelta 
               256      1     30  27.60  0.777  0.000  0.000  18.61  0.316  0.000  0.000
               256      1     50  25.44  0.707  0.000  0.000  14.18  0.179  0.000  0.000
               256      1     70  23.99  0.650  0.000  0.000  11.25  0.114  0.000  0.000
